template,prompt,target,meta_json
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT7712, <TXWY> Kilo, Hotel, <GATE> B2 [Pilot]: Greensboro Ground, <F#> FFT7712, clear of active, request taxi to Gate <GATE> B2.","[ATC]: FFT7712, taxi to Gate B2 via Kilo, Hotel.","{""callsign"": ""FFT7712"", ""pilot_alt"": 10000, ""assign_alt"": 4000, ""dist_nm"": 20.1, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""05L"", ""wind_dir"": 320, ""wind_spd"": 10, ""gate"": ""B2"", ""route"": ""Kilo, Hotel""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA283, <WIND> 320 at 7, <RWY> 14, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA283, <DIST> 15 miles out.","[ATC]: ASA283, wind 320 at 7, Runway 14 cleared to land.","{""callsign"": ""ASA283"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 23.9, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""05R"", ""wind_dir"": 320, ""wind_spd"": 7, ""gate"": ""D2"", ""route"": ""Golf, Delta""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT2822, <TXWY> Echo, Charlie, <GATE> A5 [Pilot]: Greensboro Ground, <F#> FFT2822, clear of active, request taxi to Gate <GATE> A5.","[ATC]: FFT2822, taxi to Gate A5 via Echo, Charlie.","{""callsign"": ""FFT2822"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 19.4, ""dist_mi"": 15, ""rwy"": ""05R"", ""hs_rwy"": ""23R"", ""wind_dir"": 220, ""wind_spd"": 15, ""gate"": ""A5"", ""route"": ""Echo, Charlie""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU6360, <WIND> 300 at 13, <RWY> 23R, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> JBU6360, <DIST> 15 miles out.","[ATC]: JBU6360, wind 300 at 13, Runway 23R cleared to land.","{""callsign"": ""JBU6360"", ""pilot_alt"": 10000, ""assign_alt"": 6000, ""dist_nm"": 17.6, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""23L"", ""wind_dir"": 300, ""wind_spd"": 13, ""gate"": ""B2"", ""route"": ""Delta, Bravo, Foxtrot""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> AAL5331, <GATE> B2, <RWY> 23R, <TXWY> Alpha, Hotel, Golf, <HSRWY> 14 [Pilot]: Greensboro Ground, <F#> AAL5331, at Gate <GATE> B2, request taxi to Runway <RWY> 23R.","[ATC]: AAL5331, taxi to Runway 23R via Alpha, Hotel, Golf, hold short of Runway 14.","{""callsign"": ""AAL5331"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 17.4, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""14"", ""wind_dir"": 270, ""wind_spd"": 4, ""gate"": ""B2"", ""route"": ""Alpha, Hotel, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1393, <ALT> 4000ft, <RWY> 05L, <DIST> 3.5NM [Pilot]: Greensboro Approach, <F#> UAL1393, level 10000 feet, inbound for landing.","[ATC]: UAL1393, radar contact, descend and maintain 4000, expect ILS Runway 05L.","{""callsign"": ""UAL1393"", ""pilot_alt"": 10000, ""assign_alt"": 4000, ""dist_nm"": 3.5, ""dist_mi"": 4, ""rwy"": ""05L"", ""hs_rwy"": ""23L"", ""wind_dir"": 330, ""wind_spd"": 12, ""gate"": ""D4"", ""route"": ""Lima, Delta""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N5966L, <TXWY> Lima, Kilo, <GATE> B2 [Pilot]: Greensboro Ground, <F#> N5966L, clear of active, request taxi to Gate <GATE> B2.","[ATC]: N5966L, taxi to Gate B2 via Lima, Kilo.","{""callsign"": ""N5966L"", ""pilot_alt"": 8000, ""assign_alt"": 6000, ""dist_nm"": 5.9, ""dist_mi"": 6, ""rwy"": ""14"", ""hs_rwy"": ""05L"", ""wind_dir"": 250, ""wind_spd"": 7, ""gate"": ""B2"", ""route"": ""Lima, Kilo""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU1432, <ALT> 3000ft, <RWY> 23L, <DIST> 18.9NM [Pilot]: Greensboro Approach, <F#> JBU1432, level 8000 feet, inbound for landing.","[ATC]: JBU1432, radar contact, descend and maintain 3000, expect ILS Runway 23L.","{""callsign"": ""JBU1432"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 18.9, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""05L"", ""wind_dir"": 230, ""wind_spd"": 16, ""gate"": ""B4"", ""route"": ""Foxtrot, Bravo""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA8303, <WIND> 200 at 10, <RWY> 14, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA8303, <DIST> 15 miles out.","[ATC]: ASA8303, wind 200 at 10, Runway 14 cleared to land.","{""callsign"": ""ASA8303"", ""pilot_alt"": 7000, ""assign_alt"": 5000, ""dist_nm"": 23.1, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 200, ""wind_spd"": 10, ""gate"": ""C3"", ""route"": ""Echo, Alpha, Delta""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> SWA1506, <WIND> 200 at 11, <RWY> 23L, <DIST> 10mi [Pilot]: Greensboro Tower, <F#> SWA1506, <DIST> 10 miles out.","[ATC]: SWA1506, wind 200 at 11, Runway 23L cleared to land.","{""callsign"": ""SWA1506"", ""pilot_alt"": 8000, ""assign_alt"": 5000, ""dist_nm"": 10.4, ""dist_mi"": 10, ""rwy"": ""23L"", ""hs_rwy"": ""23R"", ""wind_dir"": 200, ""wind_spd"": 11, ""gate"": ""C1"", ""route"": ""Juliet, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL1767, <ALT> 6000ft, <RWY> 05R, <DIST> 13.4NM [Pilot]: Greensboro Approach, <F#> UAL1767, level 8000 feet, inbound for landing.","[ATC]: UAL1767, radar contact, descend and maintain 6000, expect ILS Runway 05R.","{""callsign"": ""UAL1767"", ""pilot_alt"": 8000, ""assign_alt"": 6000, ""dist_nm"": 13.4, ""dist_mi"": 13, ""rwy"": ""05R"", ""hs_rwy"": ""23L"", ""wind_dir"": 300, ""wind_spd"": 7, ""gate"": ""C5"", ""route"": ""Lima, Golf, Echo""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> ASA6241, <WIND> 330 at 16, <RWY> 32, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> ASA6241, <DIST> 15 miles out.","[ATC]: ASA6241, wind 330 at 16, Runway 32 cleared to land.","{""callsign"": ""ASA6241"", ""pilot_alt"": 7000, ""assign_alt"": 4000, ""dist_nm"": 20.6, ""dist_mi"": 15, ""rwy"": ""32"", ""hs_rwy"": ""05L"", ""wind_dir"": 330, ""wind_spd"": 16, ""gate"": ""A1"", ""route"": ""Golf, Hotel""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> SWA2138, <ALT> 5000ft, <RWY> 05L, <DIST> 5.4NM [Pilot]: Greensboro Approach, <F#> SWA2138, level 6000 feet, inbound for landing.","[ATC]: SWA2138, radar contact, descend and maintain 5000, expect ILS Runway 05L.","{""callsign"": ""SWA2138"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 5.4, ""dist_mi"": 5, ""rwy"": ""05L"", ""hs_rwy"": ""05R"", ""wind_dir"": 240, ""wind_spd"": 8, ""gate"": ""A1"", ""route"": ""Delta, Golf, Juliet""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA8054, <GATE> D2, <RWY> 23L, <TXWY> Foxtrot, Charlie, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> SWA8054, at Gate <GATE> D2, request taxi to Runway <RWY> 23L.","[ATC]: SWA8054, taxi to Runway 23L via Foxtrot, Charlie, hold short of Runway 32.","{""callsign"": ""SWA8054"", ""pilot_alt"": 9000, ""assign_alt"": 5000, ""dist_nm"": 10.1, ""dist_mi"": 10, ""rwy"": ""23L"", ""hs_rwy"": ""32"", ""wind_dir"": 300, ""wind_spd"": 11, ""gate"": ""D2"", ""route"": ""Foxtrot, Charlie""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> AAL6808, <GATE> A3, <RWY> 14, <TXWY> Kilo, Bravo, Lima, <HSRWY> 23R [Pilot]: Greensboro Ground, <F#> AAL6808, at Gate <GATE> A3, request taxi to Runway <RWY> 14.","[ATC]: AAL6808, taxi to Runway 14 via Kilo, Bravo, Lima, hold short of Runway 23R.","{""callsign"": ""AAL6808"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 11.6, ""dist_mi"": 12, ""rwy"": ""14"", ""hs_rwy"": ""23R"", ""wind_dir"": 220, ""wind_spd"": 4, ""gate"": ""A3"", ""route"": ""Kilo, Bravo, Lima""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> SWA7962, <ALT> 4000ft, <RWY> 14, <DIST> 24.7NM [Pilot]: Greensboro Approach, <F#> SWA7962, level 9000 feet, inbound for landing.","[ATC]: SWA7962, radar contact, descend and maintain 4000, expect ILS Runway 14.","{""callsign"": ""SWA7962"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 24.7, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 220, ""wind_spd"": 5, ""gate"": ""B4"", ""route"": ""Juliet, Echo, Bravo""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> FFT5694, <GATE> A1, <RWY> 05L, <TXWY> Charlie, Golf, Juliet, <HSRWY> 14 [Pilot]: Greensboro Ground, <F#> FFT5694, at Gate <GATE> A1, request taxi to Runway <RWY> 05L.","[ATC]: FFT5694, taxi to Runway 05L via Charlie, Golf, Juliet, hold short of Runway 14.","{""callsign"": ""FFT5694"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 16.3, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""14"", ""wind_dir"": 300, ""wind_spd"": 13, ""gate"": ""A1"", ""route"": ""Charlie, Golf, Juliet""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> JBU7223, <ALT> 5000ft, <RWY> 05R, <DIST> 19.1NM [Pilot]: Greensboro Approach, <F#> JBU7223, level 6000 feet, inbound for landing.","[ATC]: JBU7223, radar contact, descend and maintain 5000, expect ILS Runway 05R.","{""callsign"": ""JBU7223"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 19.1, ""dist_mi"": 15, ""rwy"": ""05R"", ""hs_rwy"": ""23L"", ""wind_dir"": 280, ""wind_spd"": 15, ""gate"": ""C1"", ""route"": ""Delta, Charlie""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> AAL5320, <WIND> 210 at 13, <RWY> 32, <DIST> 14mi [Pilot]: Greensboro Tower, <F#> AAL5320, <DIST> 14 miles out.","[ATC]: AAL5320, wind 210 at 13, Runway 32 cleared to land.","{""callsign"": ""AAL5320"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 13.7, ""dist_mi"": 14, ""rwy"": ""32"", ""hs_rwy"": ""14"", ""wind_dir"": 210, ""wind_spd"": 13, ""gate"": ""D4"", ""route"": ""Alpha, Kilo, Golf""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> ASA2127, <TXWY> Delta, Hotel, Charlie, <GATE> D2 [Pilot]: Greensboro Ground, <F#> ASA2127, clear of active, request taxi to Gate <GATE> D2.","[ATC]: ASA2127, taxi to Gate D2 via Delta, Hotel, Charlie.","{""callsign"": ""ASA2127"", ""pilot_alt"": 9000, ""assign_alt"": 5000, ""dist_nm"": 7.8, ""dist_mi"": 8, ""rwy"": ""14"", ""hs_rwy"": ""23R"", ""wind_dir"": 180, ""wind_spd"": 4, ""gate"": ""D2"", ""route"": ""Delta, Hotel, Charlie""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N3558X, <GATE> D2, <RWY> 23L, <TXWY> Bravo, Kilo, Hotel, <HSRWY> 14 [Pilot]: Greensboro Ground, <F#> N3558X, at Gate <GATE> D2, request taxi to Runway <RWY> 23L.","[ATC]: N3558X, taxi to Runway 23L via Bravo, Kilo, Hotel, hold short of Runway 14.","{""callsign"": ""N3558X"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 19.3, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""14"", ""wind_dir"": 330, ""wind_spd"": 5, ""gate"": ""D2"", ""route"": ""Bravo, Kilo, Hotel""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> FFT5987, <ALT> 3000ft, <RWY> 05L, <DIST> 11.0NM [Pilot]: Greensboro Approach, <F#> FFT5987, level 9000 feet, inbound for landing.","[ATC]: FFT5987, radar contact, descend and maintain 3000, expect ILS Runway 05L.","{""callsign"": ""FFT5987"", ""pilot_alt"": 9000, ""assign_alt"": 3000, ""dist_nm"": 11.0, ""dist_mi"": 11, ""rwy"": ""05L"", ""hs_rwy"": ""32"", ""wind_dir"": 290, ""wind_spd"": 4, ""gate"": ""C5"", ""route"": ""Juliet, Hotel, Echo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> SWA2068, <TXWY> Juliet, Foxtrot, Alpha, <GATE> A1 [Pilot]: Greensboro Ground, <F#> SWA2068, clear of active, request taxi to Gate <GATE> A1.","[ATC]: SWA2068, taxi to Gate A1 via Juliet, Foxtrot, Alpha.","{""callsign"": ""SWA2068"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 24.4, ""dist_mi"": 15, ""rwy"": ""05R"", ""hs_rwy"": ""23R"", ""wind_dir"": 230, ""wind_spd"": 12, ""gate"": ""A1"", ""route"": ""Juliet, Foxtrot, Alpha""}"
